0,1,2,3,4,5
Что из перечисленного характерно для природы Мексики,наличие месторождений нефти и природного газа,преобладание подзолистых почв,субэкваториальный тип климата,преобладание низменностей в рельефе,1
С какой из перечисленных стран Россия имеет сухопутную границу,Армения,Киргизия,Грузия,Молдавия,3
Какой из перечисленных городов России является наибольшим по численности населения,Томск,Новосибирск,Владивосток,Рязань,2
В какой из перечисленных областей России густота автомобильных дорог наибольшая,Сахалинская,Тюменская,Белгородская,Иркутская,3
Какая из перечисленных отраслей получила наибольшее развитие в Поволжье,угольная промышленность,лесная промышленность,чёрная металлургия,химическая промышленность,4
Продукция какой из перечисленных отраслей промышленности составляет наибольшую долю в общем объёме импорта России,машиностроение,целлюлозно бумажная промышленность,топливная промышленность,металлургия,1
В какой из перечисленных стран ислам является религией большинства верующего населения,Боливия,Вьетнам,Мьянма,Пакистан,4
Какая из перечисленных горных пород является магматической по происхождению,мрамор,глина,известняк,гранит,4
Какие из перечисленных природных ресурсов относятся к исчерпаемым невозобновимым,энергия приливов и отливов,гидроэнергетические и водные,медные и алюминиевые руды,лесные и почвенные,3
Какое соответствие природная зона типичный представитель её фауны является верным,тайга ягуар,тундра суслик,степь белка,тундра белая куропатка,4
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая,Таиланд,Вьетнам,Египет,Франция,4
Какая из перечисленных стран имеет наибольшую среднюю плотность населения,Канада,Монголия,Япония,Ливия,3
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая,Эфиопия,Испания,Непал,Боливия,2
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Замбия,Норвегия,Япония,Австрия,1
Какая из перечисленных стран является крупным производителем пшеницы,Алжир,Канада,Япония,Куба,2
Что из перечисленного характерно для природы Аргентины,равномерное выпадение атмосферных осадков в течение всего года,наличие гор в восточной части страны,распространение на её территории степной зоны,самые высокие среднегодовые температуры воздуха на материке,3
На территории какого региона расположена крайняя южная точка России,Астраханская область,Краснодарский край,Республика Дагестан,Приморский край,3
Какой из перечисленных городов России является наибольшим по численности населения,Воронеж,Тюмень,Архангельск,Новосибирск,4
В каком из перечисленных регионов России густота сети железных дорог наибольшая,Тульская область,Вологодская область,Республика Карелия,Красноярский край,1
Что характерно для климата южной части Дальнего Востока России,влажная тёплая зима сухое жаркое лето,сухая холодная зима тёплое влажное лето,сухая тёплая зима сухое жаркое лето,холодная сухая зима прохладное сухое лето,2
На диаграмме отражающей структуру экспорта Российской Федерации в 2011 г в условным знаком обозначена доля,продукции ТЭК,продовольственных товаров и сельскохозяйственного сырья,машин оборудования и транспортных средств,металлов и изделий из них,1
В какой из перечисленных стран большинство верующих исповедуют буддизм,Монголия,Пакистан,Аргентина,Индонезия,1
Какая из перечисленных горных пород является магматической по происхождению,гранит,известняк,глина,мрамор,1
Одним из главных направлений борьбы с глобальным потеплением климата учёные считают,перевод тепловых электростанций с угля на мазут,ускоренное развитие энергетики в развивающихся странах,введение ограничений на развитие атомной энергетики,использование в энергетике нетрадиционных источников энергии,4
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая,Аргентина,Бангладеш,Гвинея,Вьетнам,1
В какой из перечисленных стран средняя плотность населения наименьшая,Германия,Швеция,Бангладеш,Монголия,4
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая,Египет,Танзания,Финляндия,Афганистан,3
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Германия,Бразилия,Япония,Бельгия,2
Для побережья какого залива характерна наибольшая концентрация специализированных нефтеналивных портов,Бенгальского,Бискайского,Персидского,Большого Австралийского,3
Что из перечисленного характерно для природы Финляндии,наличие действующих вулканов,широкое распространение хвойных лесов,резко континентальный тип климата,преобладание гор в рельефе,2
Какой из перечисленных городов России является наибольшим по численности населения,Воронеж,Архангельск,Тюмень,Новосибирск,4
В какой из перечисленных областей России густота автомобильных дорог наибольшая,Белгородская,Тюменская,Сахалинская,Иркутская,1
Показатель средней ожидаемой продолжительности жизни населения в России больше чем в,Японии,Швеции,Индии,Германии,3
В каком из высказываний содержится информация о миграциях населения,В развитых странах с низким естественным приростом населения возникают проблемы связанные со старением нации,В приокеанской полосе шириной 300 350 км сосредоточено 9 10 населения Бразилии,За 90 е гг XX в в Россию из стран СНГ и Балтии переехало более 8 млн человек,В настоящее время в возрастной структуре населения России доля лиц в возрасте 65 лет и старше составляет около 13,3
В какой из перечисленных стран большинство верующих исповедуют буддизм,Монголия,Пакистан,Индонезия,Аргентина,1
Основная часть всей воды на Земле сосредоточена в,морях и океанах,ледниках,реках и болотах,подземных водах,1
Что из перечисленного относится к исчерпаемым возобновимым природным ресурсам,нефть,каменный уголь,пресная вода,энергия ветра,3
Какое сочетание природная зона России типичный представитель её растительного мира верно,тундра полынь,широколиственный лес ягель,тайга бук,степь типчак,4
Для какой из перечисленных стран характерен миграционный прирост населения,Алжир,Бельгия,Мексика,Индия,2
В какой из перечисленных стран средняя плотность населения наименьшая,Таиланд,Япония,Саудовская Аравия,Бангладеш,3
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Чехия,Канада,Мозамбик,Нидерланды,3
Какая из перечисленных стран является одним из крупнейших производителей сахарного тростника,Бразилия,Алжир,Германия,Италия,1
Какое утверждение о природе Германии является верным,В северной части Германии расположены горы,В Германии имеются месторождения каменного и бурого угля,Крупные реки Германии впадают в Средиземное море,В Германии суровые зимы и короткое жаркое лето,2
С какой из перечисленных стран Россия имеет сухопутную границу,Литва,Туркмения,Киргизия,Молдавия,1
Какой из перечисленных городов России является наибольшим по численности населения,Тюмень,Нижний Новгород,Смоленск,Благовещенск,2
В какой из перечисленных областей России агроклиматические условия наиболее благоприятны для выращивания сахарной свёклы,Тверская,Псковская,Тюменская,Белгородская,4
В международном географическом разделении труда Россия выступает как крупный экспортёр,бытовых электроприборов,энергоносителей,морских судов,компьютеров,2
В каком из высказываний содержится информация о миграциях населения,В Индии подавляющее большинство населения проживает в деревнях и занято в сельском хозяйстве,В России происходит снижение численности населения в трудоспособном возрасте т е наиболее экономически активной части населения,С начала 90 х гг XX в в России ежегодно отмечается превышение смертности населения над рождаемостью,Ежегодно миллионы людей переселяются из стран Азии и Африки в развитые страны Европы и Америки,4
Воды Мирового океана по сравнению с сушей,быстрее нагреваются но медленнее остывают,медленнее нагреваются но быстрее остывают,быстрее нагреваются и быстрее остывают,медленнее нагреваются и медленнее остывают,4
Негативное влияние на состояние окружающей среды оказывает,перевод ТЭС с угля на природный газ,строительство каскадов ГЭС на равнинных реках,рекультивация земель на месте угольных карьеров,использование замкнутых циклов водоснабжения предприятий,2
Что характерно для природной зоны тундры,полынно злаковая растительность,каштановые почвы,обилие пресмыкающихся,избыточное увлажнение,4
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая,Франция,Камбоджа,Вьетнам,Афганистан,1
В какой из перечисленных стран средняя плотность населения наибольшая,Египет,Бразилия,Франция,Бангладеш,4
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая,Эфиопия,Алжир,Пакистан,Греция,4
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Германия,Греция,Танзания,Испания,3
Какое соответствие сельскохозяйственная культура регион являющийся мировым лидером по её производству является верным,кукуруза зарубежная Европа,рис зарубежная Азия,пшеница Латинская Америка,хлопчатник Северная Америка,2
Нигерия является производителем и экспортёром,железных руд,каменного угля,медных руд,нефти,4
С какой из перечисленных стран Россия имеет сухопутную границу,Киргизия,Туркмения,Эстония,Армения,3
Какой из перечисленных городов России является наибольшим по численности населения,Калининград,Пермь,Краснодар,Владивосток,2
В каком из перечисленных регионов России посевы сахарной свёклы занимают наибольшие площади,Республика Калмыкия,Краснодарский край,Приморский край,Республика Карелия,2
В каких из перечисленных областей Центральной России осуществляется добыча железных руд,Тверская и Ярославская,Брянская и Калужская,Курская и Белгородская,Орловская и Рязанская,3
В международном географическом разделении труда Россия выступает как экспортёр,зерна,молока,овощей,мяса,1
В какой из перечисленных стран буддизм является религией большинства верующего населения,Пакистан,Марокко,Афганистан,Монголия,4
Какая из перечисленных горных пород образуется из известняка под воздействием высоких температур и давления,гранит,мрамор,каменный уголь,пемза,2
Примером рационального природопользования является,рекультивация земель на месте угольных карьеров,добыча железных руд открытым способом в зоне степей,распашка крутых склонов в горных районах,осушение болот в верховьях рек,1
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая,Египет,Кения,Вьетнам,Норвегия,4
Какой из перечисленных регионов наиболее густо заселён,полуостров Индостан,Аравийский полуостров,Западно Сибирская равнина,Амазонская низменность,1
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая,Япония,Бразилия,Индия,Турция,1
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Турция,Португалия,Польша,Эфиопия,4
В какой из перечисленных стран густота сети железных дорог наибольшая,Швейцария,Австралия,Канада,Бразилия,1
Какое утверждение об Индии является верным,В общей численности населения преобладает городское население,Большая часть экономически активного населения занята в сельском хозяйстве,Это самая большая по площади территории страна зарубежной Азии,Является одним из крупных экспортёров нефти,2
С какой из перечисленных стран Россия имеет сухопутную границу,Узбекистан,Китай,Афганистан,Туркмения,2
Какой из перечисленных городов России является наибольшим по численности населения,Хабаровск,Краснодар,Владивосток,Екатеринбург,4
В каком из перечисленных регионов агроклиматические условия наиболее благоприятны для выращивания сахарной свёклы,Пермский край,Псковская область,Краснодарский край,Ивановская область,3
Рядом с каким из перечисленных городов Сибири построена крупная ГЭС,Томск,Омск,Красноярск,Тюмень,3
Какие из перечисленных видов продукции относятся к товарам составляющим основу российского экспорта,машины и оборудование,энергоносители и металлы,обувь и ткани,мясо и молоко,2
В какой из перечисленных стран большинство верующих исповедуют ислам,Пакистан,Таиланд,Греция,Китай,1
Негативное влияние на состояние окружающей среды оказывает,перевод ТЭС с угля на природный газ,рекультивация земель на месте угольных карьеров,использование замкнутых циклов водоснабжения предприятий,строительство каскадов ГЭС на равнинных реках,4
Для какой из перечисленных стран характерен миграционный прирост населения,Бельгия,Индия,Алжир,Мексика,1
В какой из перечисленных стран средняя ожидаемая продолжительность жизни населения наибольшая,Япония,Индия,Турция,Бразилия,1
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Турция,Эфиопия,Польша,Португалия,2
Какое соответствие сельскохозяйственная культура регион являющийся мировым лидером по её производству является верным,пшеница Латинская Америка,рис зарубежная Азия,хлопчатник Северная Америка,кукуруза зарубежная Европа,2
Какое утверждение об Индии является верным,Это самая большая по площади территории страна зарубежной Азии,В общей численности населения преобладает городское население,Является одним из крупных экспортёров нефти,Большая часть экономически активного населения занята в сельском хозяйстве,4
С какой из перечисленных стран Россия имеет сухопутную границу,Туркмения,Армения,Эстония,Киргизия,3
Какой из перечисленных городов России является наибольшим по численности населения,Хабаровск,Екатеринбург,Краснодар,Владивосток,2
В каком из перечисленных регионов агроклиматические условия наиболее благоприятны для выращивания сахарной свёклы,Краснодарский край,Ивановская область,Пермский край,Псковская область,1
В каких из перечисленных областей Центральной России осуществляется добыча железных руд,Орловская и Рязанская,Курская и Белгородская,Брянская и Калужская,Тверская и Ярославская,2
В международном географическом разделении труда Россия выступает как крупный экспортёр,бытовых электроприборов,компьютеров,энергоносителей,морских судов,3
В какой из перечисленных стран большинство верующих исповедуют ислам,Греция,Таиланд,Китай,Пакистан,4
Какая из перечисленных горных пород является по происхождению осадочной,известняк,мрамор,базальт,гнейс,1
Что из перечисленного относится к исчерпаемым невозобновимым природным ресурсам,почвенное плодородие,пресная вода,ветровая энергия,каменный уголь,4
Бук и граб типичные представители растительности природной зоны,саванн и редколесий,влажных экваториальных лесов,тайги,широколиственных лесов,4
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая,Малайзия,Турция,Бельгия,Алжир,3
В какой из перечисленных стран средняя плотность населения наибольшая,Саудовская Аравия,Индия,Монголия,Австралия,2
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Швейцария,Сомали,Гаити,Пакистан,1
Какая из перечисленных стран является крупным мировым производителем хлопка волокна,Армения,Грузия,Молдавия,Узбекистан,4
Норвегия обладает крупными запасами,нефти и природного газа,каменного и бурого угля,железных и медных руд,оловянных и урановых руд,1
С какой из перечисленных стран Россия имеет сухопутную границу,Молдавия,Чехия,Узбекистан,Азербайджан,4
Какой из перечисленных городов России является наибольшим по численности населения,Ставрополь,Новосибирск,Архангельск,Хабаровск,2
В каком из перечисленных регионов России густота сети железных дорог наибольшая,Алтайский край,Приморский край,Иркутская область,Рязанская область,4
В каких областях Центральной России добывают железные руды,Курская и Белгородская,Ивановская и Владимирская,Брянская и Смоленская,Рязанская и Тамбовская,1
В поставках какого из перечисленных видов продукции на мировой рынок роль России особенно велика,автомобили,деловая древесина,морские суда,бытовые электроприборы,2
В каком из высказываний содержится информация о миграциях населения,Население Италии увеличивается главным образом за счёт притока переселенцев из других стран,Свыше 50 населения Земли проживает в Азии Это самый населённый регион мира,Для некоторых стран Европы характерна естественная убыль населения,Средняя плотность сельского населения России составляет примерно 2 2 человека на 1 кв км,1
В какой из перечисленных стран большинство верующих исповедуют ислам,Индия,Аргентина,Алжир,Лаос,3
Примером рационального природопользования является,молевой сплав леса по рекам,создание лесополос в степной зоне,добыча угля открытым способом,захоронение токсичных отходов в густонаселённых районах,2
В какой из перечисленных стран доля городского населения в общей численности населения наибольшая,Индия,Иран,Аргентина,Афганистан,3
В какой из перечисленных стран средняя плотность населения наибольшая,Монголия,Россия,Канада,Италия,4
В какой из перечисленных стран ВВП на душу населения наибольший,Алжир,Румыния,Бангладеш,Германия,4
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Швейцария,Норвегия,Таиланд,Испания,3
В какой из перечисленных стран густота сети железных дорог наибольшая,Алжир,Великобритания,Саудовская Аравия,Австралия,2
Какое утверждение об особенностях географического положения Бразилии верно,На территории страны находится крайняя северная точка материка на котором она расположена,Большая часть территории Бразилии находится в тропическом климатическом поясе,Побережье страны омывается водами двух океанов,Бразилия находится как в Северном так и в Южном полушариях,4
С какой из перечисленных стран Россия имеет сухопутную границу,Туркмения,Казахстан,Армения,Узбекистан,2
Какой из перечисленных городов России является наибольшим по численности населения,Новосибирск,Рязань,Владивосток,Хабаровск,1
В каком из перечисленных регионов России выращивают рис,Краснодарский край,Алтайский край,Красноярский край,Пермский край,1
Какой из перечисленных факторов способствовал развитию на Урале тяжёлого машиностроения,положение на границе двух экономических зон,обеспеченность топливно энергетическими ресурсами,наличие крупных полноводных рек,наличие развитой металлургической базы,4
В международном географическом разделении труда Россия выступает как экспортёр,зерна,фруктов,овощей,винограда,1
В каком из следующих утверждений содержится информация о проявлении международной экономической интеграции,В последние два три десятилетия в США Японии и странах Западной Европы развитие чёрной и цветной металлургии резко замедлилось,К группе наименее развитых стран относится около 40 стран с общим населением более 600 млн человек и среднедушевым ВВП 100 300 долл в год,Наиболее компактную группу стран с отчётливо выраженной индустриальной структурой хозяйства образуют некоторые страны Восточной Европы и Ближнего Зарубежья,12 стран входят в состав ОПЕК целью которой является координация деятельности и выработка общей политики в отношении добычи нефти,4
В какой из перечисленных стран большинство верующих исповедуют буддизм,Уругвай,Монголия,Марокко,Тунис,2
Какая из перечисленных горных пород является по происхождению метаморфической,пемза,мрамор,галька,гипс,2
Что является примером рационального природопользования,создание систем оборотного водоснабжения на промышленных предприятиях,добыча полезных ископаемых открытым способом,неполное извлечение металла из руд,строительство каскадов ГЭС на равнинных реках,1
Вo влажных экваториальных лесах Южной Америки,есть сухой и влажный сезоны года,в составе растительности много лиан и папоротников,преобладают каштановые почвы,в древесном ярусе преобладают эвкалипты,2
22 июня Солнце находится в зените над пустыней,Сахара,Атакама,Большой Австралийской,Намиб,1
Для какой из перечисленных стран характерен наибольший миграционный прирост населения,Нигерия,Белоруссия,США,Китай,3
В какой из перечисленных стран средняя плотность населения наибольшая,Канада,Япония,Алжир,Бразилия,2
В какой из перечисленных стран ВВП на душу населения наибольший,Бельгия,Алжир,Марокко,Аргентина,1
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Швеция,Либерия,Австрия,Россия,2
Какая из перечисленных стран является крупнейшим производителем кукурузы,Австралия,Канада,Мексика,США,4
Какое утверждение о географических особенностях Аргентины верно,Большая часть территории страны находится в субэкваториальном климатическом поясе,Столица не является крупнейшим по численности населения городом страны,Имеет сухопутную границу только с одной страной,Вся территория страны находится в Южном полушарии,4
С какой из перечисленных стран Россия граничит по реке Амур,Киргизия,Монголия,Казахстан,Китай,4
Какой из перечисленных городов России является наиболее крупным по численности населения,Астрахань,Челябинск,Тула,Тверь,2
В каком из перечисленных регионов России агроклиматические условия наиболее благоприятны для выращивания сахарной свёклы и кукурузы,Республика Коми,Вологодская область,Тверская область,Воронежская область,4
Какой из перечисленных видов полезных ископаемых добывается в Поволжье,медные руды,железные руды,нефть,уголь,3
В поставках какого из перечисленных видов продукции на мировой рынок доля России особенно велика,полупроводники,автомобили,морские суда,металлы,4
каком из высказываний содержится информация о миграциях населения,Территории больших городов быстро расширяются Близко расположенные города зачастую сливаются образуя агломерации,В настоящее время в России происходит отток населения из районов Крайнего Севера,В настоящее время большинство населения мира проживает в развивающихся странах доля этих стран в общей численности населения мира постоянно растёт,В 90 х гг XX в темпы роста численности населения мира стабилизировались,2
В какой из перечисленных стран большинство верующих исповедуют ислам,Монголия,Индия,Иран,Китай,3
Какая из перечисленных форм рельефа образуется в результате деятельности текучих вод,бархан,овраг,дюна,моренная гряда,2
Что из перечисленного относится к исчерпаемым возобновимым природным ресурсам,солнечная энергия,энергия приливов и отливов,лесные ресурсы,медные руды,3
Для какой из перечисленных природных зон характерна наименьшая годовая амплитуда температур воздуха,пустынь и полупустынь,влажных экваториальных лесов,жестколистных вечнозелёных лесов и кустарников,степей и лесостепей,2
22 июня световой день короче ночи на,Северном тропике,Северном полярном круге,экваторе,Южном тропике,4
Для какой из перечисленных стран характерен миграционный прирост населения,Марокко,Вьетнам,Мексика,США,4
В какой из перечисленных стран средняя плотность населения наименьшая,Австралия,Бельгия,Великобритания,Италия,1
В какой из перечисленных стран ВВП на душу населения наибольший,Швейцария,Индия,Турция,Китай,1
Для какой из перечисленных стран характерна структура занятости населения показанная на диаграмме,Пакистан,Канада,Сомали,Индонезия,2
Какие из перечисленных сельскохозяйственных культур относятся к техническим,рис и ячмень,пшеница и кукуруза,рожь и цитрусовые,подсолнечник и лён долгунец,4
Что из перечисленного характерно для Бразилии,преобладание сельского хозяйства в структуре ВВП,низкая менее 50 доля городского населения,преобладание ГЭС в структуре производства электроэнергии,высокий уровень развития всех регионов страны,3
Сухопутную границу с Россией имеют,Эстония и Латвия,Армения и Киргизия,Туркмения и Узбекистан,Чехия и Венгрия,1
Какой из перечисленных городов России является городом миллионером,Иркутск,Ставрополь,Екатеринбург,Владивосток,3
В каком из перечисленных регионов России агроклиматические условия наиболее благоприятны для выращивания бахчевых культур,Республика Хакасия,Республика Алтай,Вологодская область,Волгоградская область,4
Какая особенность природы характерна для Уральских гор,наибольшая увлажнённость восточных склонов,преобладающие абсолютные высоты вершин более 3 тыс м,наличие рудных полезных ископаемых,высокая сейсмичность территории,3
Россия занимает первое место в мире по разведанным запасам,нефти,природного газа,алюминиевых руд,каменного угля,2
В каком из высказываний содержится информация о миграциях населения,В Бразилии несмотря на успехи в развитии образования около 10 населения старше 15 лет неграмотны,В настоящее время средняя продолжительность жизни в Алжире составляет 73 года,Численность населения Индии ежегодно увеличивается на 1 6,В последнее десятилетие в Россию ежегодно переезжало больше людей чем выезжало из неё,4
В какой из перечисленных стран большинство верующих исповедуют христианство,Бразилия,Вьетнам,Египет,Индонезия,1
